P_bar	B_g_m3Sm3	mu_g_cP
1	1.24299819548683	0.0175489477520414
1.24680437914745	0.996252784693072	0.017550553821349
1.55452115986126	0.798350045719629	0.0175525874326856
1.93818378959239	0.639621474681379	0.0175551716332579
2.4165360364564	0.512312413712141	0.0175584697974266
3.01294771262146	0.410203198087345	0.0175627013314244
3.75655640223874	0.328305294887068	0.0175681646667839
4.68369097282565	0.262617587951746	0.0175752714547482
5.83964641549241	0.209930902225595	0.0175845982359512
7.28089672350865	0.167671217157588	0.017596965815931
9.07785391899091	0.133773908729703	0.0176135633454539
11.3183080194587	0.106582875174658	0.0176361459757865
14.1117160032008	0.0847696164652905	0.0176673564016639
17.594549310076	0.0672683113953098	0.0177112607137489
21.9369611289285	0.0532237158470122	0.0177742672000444
27.3510992007354	0.041949329483918	0.0178667570684036
34.1014702579733	0.0328937763293788	0.0180061050023946
42.5178624530077	0.0256137454327216	0.0182225837230799
53.0114570983989	0.0197521821617813	0.0185717294570084
66.094916855271	0.0150208445827109	0.0191626316286744
82.4074317745386	0.0111875758490798	0.0202301255082582
102.745946810789	0.00807557085228818	0.0223386431868074
128.104096423343	0.00562321003635243	0.0268554224105172
159.720748407352	0.004027208011682	0.0350483675924044
199.140528554995	0.00322401895501406	0.0446329345154548
248.289283068105	0.00278684783410293	0.0541498937648528
309.568165424695	0.00250336360361755	0.0639176846982545
385.970944296152	0.00229685890576438	0.0744679378739276
481.230263572119	0.00213532786324826	0.0863284891697191
600	0.00200315641880212	0.100049168731196
660	0.00195283876465699	0.106700698010321
750	0.0018905960211619	0.116430289530487
