P_bar	B_g_m3Sm3	mu_g_cP
80	0.00661639540728183	0.0225441750290454
81.7066725706709	0.00597988706100968	0.0239594772024707
83.4497542821352	0.00502999794162959	0.0271295883215652
85.230021865417	0.00391823182248849	0.0341455833912951
87.0482686218593	0.00360517732668597	0.0374166400478127
88.9053047766258	0.00343527153836584	0.039602288624826
90.8019578397433	0.00331685282882399	0.0413454475685469
92.7390729748471	0.00322525828016159	0.0428412448706666
94.7175133757923	0.00315020608582294	0.0441771419486967
96.7381606513	0.00308640648878815	0.0454006477411047
98.801915217809	0.00303077122413473	0.0465407593107243
100.909696700709	0.00298133707872777	0.0476166280373856
103.062444344132	0.00293677691063385	0.0486416478253467
105.261117429487	0.00289615079958139	0.0496256033493242
107.506695702925	0.00285876829319763	0.0505758929588655
109.800179811921	0.00282410703147954	0.0514982693069667
112.142591751167	0.00279176211793882	0.0523973106376101
114.534975317988	0.00276141325673942	0.0532767330615593
116.978396577459	0.0027328026548124	0.0541396045687267
119.473944337457	0.0027057197115334	0.0549884959488369
122.022730633839	0.00267999013535454	0.0558255898629865
124.625891225978	0.00265546803311579	0.056652761367311
127.284586102863	0.00263203004677035	0.057471638481221
130	0.0026095709320345	0.0582836485040829
143	0.0025181692528641	0.0618956339961134
162.5	0.00241453013934164	0.0667061286565479
