Rs_Sm3Sm3	P_bar	B_aq_m3Sm3	mu_b_cP
28.0056966101544	80	1.04460998546868	0.701259137562444
28.2208720003411	81.7066725706709	1.0448566211488	0.701638998800655
28.403424580571	83.4497542821352	1.04505319574011	0.701967237807002
28.5262333036113	85.230021865417	1.04515933256813	0.70220081662182
28.6320381483722	87.0482686218593	1.04523858035874	0.702408001293768
28.7321910549104	88.9053047766258	1.04530779405229	0.702606920976079
28.828925365295	90.8019578397433	1.04537026304836	0.70280115959549
28.9233871997938	92.7390729748471	1.04542765875546	0.70299256520855
29.0162692870163	94.7175133757923	1.0454809774731	0.703182261957848
29.1080355451877	96.7381606513	1.04553087447094	0.70337100870333
29.1990188206584	98.801915217809	1.04557780937515	0.703559355139643
29.2894700701242	100.909696700709	1.04562211932188	0.703747720375895
29.3795857705661	103.062444344132	1.04566405972196	0.703936436741573
29.4695243896619	105.261117429487	1.0457038287518	0.704125776117231
29.559416871227	107.506695702925	1.04574158294084	0.704315966702806
29.6493736228832	109.800179811921	1.04577744755574	0.704507204196632
29.7394893489121	112.142591751167	1.04581152377883	0.704699659530511
29.8298464971814	114.534975317988	1.04584389382496	0.704893484389499
29.9205177820905	116.978396577459	1.0458746246836	0.705088815254532
30.0115680725014	119.473944337457	1.0459037709164	0.70528577642978
30.1030558317189	122.022730633839	1.04593137678827	0.70548448235372
30.1950342342466	124.625891225978	1.04595747791757	0.705685039393304
30.2875520446462	127.284586102863	1.04598210257246	0.705887547257723
30.3806543182041	130	1.04600527270215	0.706092100127093
30.3806543182041	143	1.04545434706038	0.706367146208055
30.3806543182041	162.5	1.04463171458306	0.706778520229374
